id,name,url,rating,types
ChIJUblRbI4Z2jERxFFX4oTirxA,Coastal Playgrove,https://maps.google.com/?cid=1202428685892145604&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"park, playground, point_of_interest, establishment"
ChIJRQBn6loY2jERjqNd6Z0qL1k,Singapore Swimming Club,https://maps.google.com/?cid=6426402050994447246&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"sports_club, point_of_interest, establishment"
ChIJ7caaHQkZ2jERPrIT5IV99i4,Tanjong Katong MRT Station (TE25),https://maps.google.com/?cid=3384030184026124862&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment"
ChIJJ3nM0UYY2jERXLcI-qydyZ0,Goodman Arts Centre,https://maps.google.com/?cid=11369792100528338780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"tourist_attraction, point_of_interest, establishment"
ChIJC0Ii9aUZ2jERVsEzsKY3a9Y,Katong Park MRT Station (TE24),https://maps.google.com/?cid=15450504135684899158&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
ChIJQViLFVsY2jERw02ejY0jumg,The Waterside,https://maps.google.com/?cid=7546383216486010307&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"condominium_complex, point_of_interest, establishment"
ChIJPVPEOGYY2jERpKMMoeSWcWY,The Makena,https://maps.google.com/?cid=7381847172935623588&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"condominium_complex, point_of_interest, establishment"
ChIJNxPQqCIZ2jERG6ecy5NCb2U,East Coast Park Car Park B1,https://maps.google.com/?cid=7309133922789271323&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"parking, point_of_interest, establishment"
ChIJi7zAg0QY2jERP4i_AXsUxkQ,One Fort,https://maps.google.com/?cid=4955670958510671935&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"condominium_complex, point_of_interest, establishment"
ChIJ2efJS1wY2jERijwEp9HSW4I,Bike Stop @East Coast Park Area B (Coastline Leisure),https://maps.google.com/?cid=9393333245703371914&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"point_of_interest, establishment"
ChIJo0ilEiIZ2jERixa9wWMLNzU,Meyer Mansion,https://maps.google.com/?cid=3834546130809329291&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"condominium_complex, point_of_interest, establishment"
ChIJeZ-V6mcY2jER2YLu-L4ETvk,The MeyeRise,https://maps.google.com/?cid=17964301181894165209&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"condominium_complex, point_of_interest, establishment"
ChIJ25O5GF0Y2jERyD0KtRuwde0,The Seafront On Meyer,https://maps.google.com/?cid=17110775992312020424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"condominium_complex, point_of_interest, establishment"
ChIJRz8R7kMY2jER-96gfYSOqvw,Katong ActiveSG Swimming Complex,https://maps.google.com/?cid=18206521143293173499&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"swimming_pool, sports_activity_location, point_of_interest, establishment"
ChIJNS9iTW8Y2jERzr2o5RJGpv8,Aalto,https://maps.google.com/?cid=18421488372781989326&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"condominium_complex, point_of_interest, establishment"
ChIJmaL1jVsY2jERMjX6o9jEg6k,Fort Road Carpark,https://maps.google.com/?cid=12214823049101980978&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"parking, point_of_interest, establishment"
ChIJPY5Zw1wY2jERlKqOVadv-PM,The Belvedere,https://maps.google.com/?cid=17579923909926365844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"condominium_complex, point_of_interest, establishment"
ChIJy88SJVgZ2jERQg2nAEiX6ZA,BLACKGOAT,https://maps.google.com/?cid=10442043546539593026&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"hamburger_restaurant, american_restaurant, restaurant, food, point_of_interest, establishment"
ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,https://maps.google.com/?cid=12681473382849091322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, tourist_attraction, point_of_interest, establishment"
ChIJQ3NeR3YY2jERyOYPup1L168,McDonald's Marine Cove,https://maps.google.com/?cid=12670679217433732808&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"fast_food_restaurant, restaurant, point_of_interest, food, establishment"
ChIJa-w7QHYY2jERBpmvw73xGFs,Marine Cove,https://maps.google.com/?cid=6564262254226675974&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"sports_activity_location, point_of_interest, establishment"
